CMDLINE d:\python27\envs\py37\python.exe pytorch-seq2seq-attention.py
MEM 0.421875 1601124625.8479
MEM 15.265625 1601124625.9489
MEM 24.089844 1601124626.0489
MEM 30.363281 1601124626.1499
MEM 37.589844 1601124626.2503
MEM 46.445312 1601124626.3506
MEM 86.503906 1601124626.4515
MEM 94.109375 1601124626.5524
MEM 100.820312 1601124626.6524
MEM 100.902344 1601124626.7524
MEM 108.968750 1601124626.8534
MEM 113.015625 1601124626.9534
MEM 117.714844 1601124627.0544
MEM 124.332031 1601124627.1544
MEM 128.433594 1601124627.2554
MEM 134.117188 1601124627.3564
MEM 138.113281 1601124627.4574
MEM 143.371094 1601124627.5574
MEM 144.300781 1601124627.6584
MEM 174.761719 1601124627.7594
MEM 220.113281 1601124627.8604
MEM 268.300781 1601124627.9604
MEM 317.625000 1601124628.0614
MEM 363.835938 1601124628.1614
MEM 414.988281 1601124628.2624
MEM 458.609375 1601124628.3624
MEM 505.218750 1601124628.4634
MEM 555.843750 1601124628.5634
MEM 565.023438 1601124628.6644
MEM 604.996094 1601124628.7644
MEM 654.570312 1601124628.8644
MEM 713.007812 1601124628.9654
MEM 777.957031 1601124629.0664
MEM 842.519531 1601124629.1674
MEM 878.878906 1601124629.2674
MEM 883.652344 1601124629.3684
MEM 941.542969 1601124629.4684
MEM 991.062500 1601124629.5694
MEM 1035.300781 1601124629.6694
MEM 1087.011719 1601124629.7704
MEM 1148.468750 1601124629.8704
MEM 1211.781250 1601124629.9704
MEM 1224.953125 1601124630.0714
MEM 1280.828125 1601124630.1724
MEM 1335.496094 1601124630.2734
MEM 1391.750000 1601124630.3744
MEM 1478.855469 1601124630.4744
MEM 1494.937500 1601124630.5744
MEM 1543.992188 1601124630.6754
MEM 1653.683594 1601124630.7764
MEM 1650.929688 1601124630.8764
MEM 1704.582031 1601124630.9774
MEM 1697.800781 1601124631.0774
MEM 1744.648438 1601124631.1774
MEM 1803.023438 1601124631.2774
MEM 1881.832031 1601124631.3784
MEM 1890.847656 1601124631.4784
MEM 1931.800781 1601124631.5784
MEM 1989.519531 1601124631.6794
MEM 2042.792969 1601124631.7794
MEM 2099.703125 1601124631.8794
MEM 2166.925781 1601124631.9794
MEM 2221.792969 1601124632.0804
MEM 2269.960938 1601124632.1814
MEM 2263.148438 1601124632.2814
MEM 2285.750000 1601124632.3814
MEM 2286.992188 1601124632.4817
MEM 2287.304688 1601124632.5828
MEM 2287.347656 1601124632.6837
MEM 2289.507812 1601124632.7847
MEM 2289.699219 1601124632.8848
MEM 2290.992188 1601124632.9848
MEM 2291.203125 1601124633.0858
MEM 2292.914062 1601124633.1858
MEM 2293.167969 1601124633.2858
MEM 2294.355469 1601124633.3858
MEM 2294.992188 1601124633.4868
MEM 2295.890625 1601124633.5868
MEM 2297.296875 1601124633.6868
MEM 2298.621094 1601124633.7878
MEM 2300.050781 1601124633.8888
MEM 2300.730469 1601124633.9888
MEM 2301.242188 1601124634.0898
MEM 2301.312500 1601124634.1908
MEM 2302.082031 1601124634.2908
MEM 2303.984375 1601124634.3908
MEM 2305.289062 1601124634.4918
MEM 2306.300781 1601124634.5918
MEM 2307.132812 1601124634.6918
MEM 2309.152344 1601124634.7928
MEM 2310.582031 1601124634.8938
MEM 2312.406250 1601124634.9938
MEM 2312.847656 1601124635.0948
MEM 2314.179688 1601124635.1958
MEM 2316.781250 1601124635.2958
MEM 2317.835938 1601124635.3967
MEM 2319.843750 1601124635.4968
MEM 2321.519531 1601124635.5968
MEM 2322.050781 1601124635.6968
MEM 2322.160156 1601124635.7978
MEM 2322.226562 1601124635.8978
MEM 2322.625000 1601124635.9988
MEM 2323.914062 1601124636.0988
MEM 2324.863281 1601124636.1998
MEM 2324.863281 1601124636.2998
MEM 2324.863281 1601124636.4008
MEM 2324.863281 1601124636.5014
MEM 2324.929688 1601124636.6015
MEM 2324.929688 1601124636.7015
MEM 2324.929688 1601124636.8025
MEM 2324.929688 1601124636.9035
MEM 2325.226562 1601124637.0045
MEM 2325.226562 1601124637.1055
MEM 2327.285156 1601124637.2055
MEM 2329.281250 1601124637.3065
MEM 2331.863281 1601124637.4075
MEM 2336.703125 1601124637.5085
MEM 2338.183594 1601124637.6094
MEM 2339.007812 1601124637.7095
MEM 2339.703125 1601124637.8105
MEM 2341.222656 1601124637.9105
MEM 2342.792969 1601124638.0105
MEM 2343.378906 1601124638.1115
MEM 2343.761719 1601124638.2125
MEM 2345.191406 1601124638.3125
MEM 2347.679688 1601124638.4135
MEM 2347.679688 1601124638.5145
MEM 2348.828125 1601124638.6145
MEM 2351.878906 1601124638.7145
MEM 2354.804688 1601124638.8145
MEM 2358.589844 1601124638.9155
MEM 2359.816406 1601124639.0164
MEM 2360.480469 1601124639.1165
MEM 2361.261719 1601124639.2165
MEM 2364.019531 1601124639.3165
MEM 2366.238281 1601124639.4175
MEM 2367.222656 1601124639.5185
MEM 2367.695312 1601124639.6185
MEM 2367.878906 1601124639.7195
MEM 2368.007812 1601124639.8205
MEM 2368.320312 1601124639.9214
MEM 2368.390625 1601124640.0223
MEM 2411.578125 1601124640.1233
MEM 2449.105469 1601124640.2233
MEM 2509.640625 1601124640.3233
MEM 2562.503906 1601124640.4243
MEM 2621.433594 1601124640.5243
MEM 2667.062500 1601124640.6243
MEM 2681.601562 1601124640.7253
MEM 2680.710938 1601124640.8263
MEM 2685.210938 1601124640.9273
MEM 2685.210938 1601124641.0283
MEM 2685.539062 1601124641.1293
MEM 2685.929688 1601124641.2293
MEM 2686.437500 1601124641.3303
MEM 2687.363281 1601124641.4303
MEM 2687.750000 1601124641.5313
MEM 2690.074219 1601124641.6323
MEM 2690.074219 1601124641.7333
MEM 2690.074219 1601124641.8343
MEM 2690.074219 1601124641.9343
MEM 2690.074219 1601124642.0353
MEM 2690.074219 1601124642.1353
MEM 2690.074219 1601124642.2353
MEM 2690.074219 1601124642.3363
MEM 2690.074219 1601124642.4373
MEM 2690.074219 1601124642.5383
MEM 2690.074219 1601124642.6393
MEM 2690.074219 1601124642.7403
MEM 2690.074219 1601124642.8403
MEM 2690.074219 1601124642.9413
MEM 2690.074219 1601124643.0413
MEM 2690.074219 1601124643.1413
MEM 2690.074219 1601124643.2423
MEM 2690.074219 1601124643.3423
MEM 2690.074219 1601124643.4423
MEM 2690.074219 1601124643.5433
MEM 2690.074219 1601124643.6433
MEM 2690.074219 1601124643.7433
MEM 2690.074219 1601124643.8433
MEM 2690.074219 1601124643.9433
MEM 2690.074219 1601124644.0433
MEM 2690.074219 1601124644.1443
MEM 2690.074219 1601124644.2443
MEM 2690.074219 1601124644.3453
MEM 2690.074219 1601124644.4453
MEM 2690.074219 1601124644.5453
MEM 2690.074219 1601124644.6463
MEM 2690.074219 1601124644.7466
MEM 2690.074219 1601124644.8466
MEM 2690.074219 1601124644.9466
MEM 2690.074219 1601124645.0476
MEM 2690.074219 1601124645.1486
MEM 2690.074219 1601124645.2486
MEM 2690.074219 1601124645.3496
MEM 2690.074219 1601124645.4496
MEM 2690.074219 1601124645.5506
MEM 2690.074219 1601124645.6516
MEM 2690.074219 1601124645.7526
MEM 2690.074219 1601124645.8526
MEM 2690.074219 1601124645.9536
MEM 2690.074219 1601124646.0536
MEM 2690.074219 1601124646.1536
MEM 2690.074219 1601124646.2546
MEM 2690.074219 1601124646.3556
MEM 2690.074219 1601124646.4566
MEM 2690.074219 1601124646.5566
MEM 2690.074219 1601124646.6576
MEM 2690.074219 1601124646.7576
MEM 2690.074219 1601124646.8586
MEM 2690.164062 1601124646.9586
MEM 2690.757812 1601124647.0596
MEM 2690.757812 1601124647.1606
MEM 2690.750000 1601124647.2606
MEM 2691.464844 1601124647.3616
MEM 2692.230469 1601124647.4616
MEM 2692.550781 1601124647.5616
MEM 2693.546875 1601124647.6616
MEM 2693.546875 1601124647.7616
MEM 2693.546875 1601124647.8626
MEM 2693.546875 1601124647.9626
MEM 2693.546875 1601124648.0626
MEM 2693.546875 1601124648.1626
MEM 2693.546875 1601124648.2626
MEM 2693.546875 1601124648.3636
MEM 2693.546875 1601124648.4636
MEM 2693.546875 1601124648.5646
MEM 2693.546875 1601124648.6646
MEM 2693.546875 1601124648.7656
MEM 2693.546875 1601124648.8656
MEM 2693.546875 1601124648.9656
MEM 2693.546875 1601124649.0656
MEM 2693.546875 1601124649.1666
MEM 2693.546875 1601124649.2666
MEM 2693.546875 1601124649.3673
MEM 2693.546875 1601124649.4673
MEM 2693.546875 1601124649.5673
MEM 2693.546875 1601124649.6683
MEM 2693.546875 1601124649.7683
MEM 2693.546875 1601124649.8683
MEM 2693.546875 1601124649.9683
MEM 2693.546875 1601124650.0683
MEM 2693.546875 1601124650.1693
MEM 2693.546875 1601124650.2703
MEM 2693.546875 1601124650.3713
MEM 2693.546875 1601124650.4713
MEM 2693.546875 1601124650.5723
MEM 2693.546875 1601124650.6733
MEM 2693.546875 1601124650.7733
MEM 2693.546875 1601124650.8743
MEM 2693.546875 1601124650.9753
MEM 2693.546875 1601124651.0753
MEM 2693.546875 1601124651.1763
MEM 2693.546875 1601124651.2763
MEM 2693.546875 1601124651.3773
MEM 2693.546875 1601124651.4773
MEM 2693.546875 1601124651.5773
